Ano,Unidade_Geografica,Dependencia_Administrativa,Grupo_de_Abandono,Taxa_Abandono,Renda_Media,,prEm,,,,prEf,,,
2016,Norte,Publica,Ensino Fundamental,"3,50",2085,,,,,,,,,
2016,Nordeste,Publica,Ensino Fundamental,"3,60",1963,,,,,,,,,
2016,Sudeste,Publica,Ensino Fundamental,"1,20",3366,,,,,,,,,
2016,Sul,Publica,Ensino Fundamental,"0,90",3109,,,,,,,,,
2016,Centro-Oeste,Publica,Ensino Fundamental,"1,40",3152,,,,,,,,,
2017,Norte,Publica,Ensino Fundamental,"3,20",2147,,,,,,,,,
2017,Nordeste,Publica,Ensino Fundamental,"3,10",2018,,,,,,,,,
2017,Sudeste,Publica,Ensino Fundamental,"1,10",3261,,,,,,,,,
2017,Sul,Publica,Ensino Fundamental,"1,00",3158,,,,,,,,,
2017,Centro-Oeste,Publica,Ensino Fundamental,"1,20",3239,,,,,,,,,
2018,Norte,Publica,Ensino Fundamental,"3,00",2264,,,,,,,,,
2018,Nordeste,Publica,Ensino Fundamental,"2,70",1983,,,,,,,,,
2018,Sudeste,Publica,Ensino Fundamental,"1,00",3377,,,,,,,,,
2018,Sul,Publica,Ensino Fundamental,"0,80",3185,,,,,,,,,
2018,Centro-Oeste,Publica,Ensino Fundamental,"1,00",3254,,,,,,,,,
2019,Norte,Publica,Ensino Fundamental,"2,60",2117,,,,,,,,,
2019,Nordeste,Publica,Ensino Fundamental,"2,00",2024,,,,,,,,,
2019,Sudeste,Publica,Ensino Fundamental,"0,70",3356,,,,,,,,,
2019,Sul,Publica,Ensino Fundamental,"0,70",3238,,,,,,,,,
2019,Centro-Oeste,Publica,Ensino Fundamental,"0,80",3169,,,,,,,,,
2020,Norte,Publica,Ensino Fundamental,"1,30",2211,,,,,,,,,
2020,Nordeste,Publica,Ensino Fundamental,"1,10",2178,,,,,,,,,
2020,Sudeste,Publica,Ensino Fundamental,"0,80",3451,,,,,,,,,
2020,Sul,Publica,Ensino Fundamental,"0,40",3247,,,,,,,,,
2020,Centro-Oeste,Publica,Ensino Fundamental,"0,30",3271,,,,,,,,,
2021,Norte,Publica,Ensino Fundamental,"2,60",2104,,,,,,,,,
2021,Nordeste,Publica,Ensino Fundamental,"2,20",1960,,,,,,,,,
2021,Sudeste,Publica,Ensino Fundamental,"0,90",3261,,,,,,,,,
2021,Sul,Publica,Ensino Fundamental,"0,90",3065,,,,,,,,,
2021,Centro-Oeste,Publica,Ensino Fundamental,"0,50",3108,,,,,,,,,
2022,Norte,Publica,Ensino Fundamental,"2,60",2173,,,,,,,,,
2022,Nordeste,Publica,Ensino Fundamental,"2,00",1889,,,,,,,,,
2022,Sudeste,Publica,Ensino Fundamental,"0,80",3147,,,,,,,,,
2022,Sul,Publica,Ensino Fundamental,"0,70",3083,,,,,,,,,
2022,Centro-Oeste,Publica,Ensino Fundamental,"0,60",3162,,,,,,,,,
2023,Norte,Publica,Ensino Fundamental,"1,60",2416,,,,,,,,,
2023,Nordeste,Publica,Ensino Fundamental,"1,10",1991,,,,,,,,,
2023,Sudeste,Publica,Ensino Fundamental,"0,60",3389,,,,,,,,,
2023,Sul,Publica,Ensino Fundamental,"0,40",3225,,,,,,,,,
2023,Centro-Oeste,Publica,Ensino Fundamental,"0,50",3418,,,,,,,,,
2013,Norte,Privada,Ensino Medio,"2,17",2252,,,,,,,,,
2013,Nordeste,Privada,Ensino Medio,"2,77",1976,,,,,,,,,
2013,Sudeste,Privada,Ensino Medio,"0,87",3306,,,,,,,,,
2013,Sul,Privada,Ensino Medio,"0,37",3194,,,,,,,,,
2013,Centro-Oeste,Privada,Ensino Medio,"0,60",3299,,,,,,,,,
2014,Norte,Privada,Ensino Medio,"2,13",2284,,,,,,,,,
2014,Nordeste,Privada,Ensino Medio,"2,43",2039,,,,,,,,,
2014,Sudeste,Privada,Ensino Medio,"0,80",3439,,,,,,,,,
2014,Sul,Privada,Ensino Medio,"0,80",3277,,,,,,,,,
2014,Centro-Oeste,Privada,Ensino Medio,"0,73",3367,,,,,,,,,
2015,Norte,Privada,Ensino Medio,"2,70",2223,,,,,,,,,
2015,Nordeste,Privada,Ensino Medio,"1,90",1988,,,,,,,,,
2015,Sudeste,Privada,Ensino Medio,"0,67",3303,,,,,,,,,
2015,Sul,Privada,Ensino Medio,"0,57",3133,,,,,,,,,
2015,Centro-Oeste,Privada,Ensino Medio,"0,53",3227,,,,,,,,,
2016,Norte,Privada,Ensino Medio,"1,80",2085,,,,,,,,,
2016,Nordeste,Privada,Ensino Medio,"2,40",1963,,,,,,,,,
2016,Sudeste,Privada,Ensino Medio,"0,83",3366,,,,,,,,,
2016,Sul,Privada,Ensino Medio,"0,53",3109,,,,,,,,,
2016,Centro-Oeste,Privada,Ensino Medio,"0,40",3152,,,,,,,,,
2017,Norte,Privada,Ensino Medio,"2,00",2147,,,,,,,,,
2017,Nordeste,Privada,Ensino Medio,"2,00",2018,,,,,,,,,
2017,Sudeste,Privada,Ensino Medio,"0,63",3261,,,,,,,,,
2017,Sul,Privada,Ensino Medio,"0,40",3158,,,,,,,,,
2017,Centro-Oeste,Privada,Ensino Medio,"0,30",3239,,,,,,,,,
2018,Norte,Privada,Ensino Medio,"1,30",2264,,,,,,,,,
2018,Nordeste,Privada,Ensino Medio,"2,70",1983,,,,,,,,,
2018,Sudeste,Privada,Ensino Medio,"0,60",3377,,,,,,,,,
2018,Sul,Privada,Ensino Medio,"0,50",3185,,,,,,,,,
2018,Centro-Oeste,Privada,Ensino Medio,"0,37",3254,,,,,,,,,
2019,Norte,Privada,Ensino Medio,"1,70",2117,,,,,,,,,
2019,Nordeste,Privada,Ensino Medio,"1,53",2024,,,,,,,,,
2019,Sudeste,Privada,Ensino Medio,"0,43",3356,,,,,,,,,
2019,Sul,Privada,Ensino Medio,"0,67",3238,,,,,,,,,
2019,Centro-Oeste,Privada,Ensino Medio,"0,63",3169,,,,,,,,,
2020,Norte,Privada,Ensino Medio,"0,90",2211,,,,,,,,,
2020,Nordeste,Privada,Ensino Medio,"2,33",2178,,,,,,,,,
2020,Sudeste,Privada,Ensino Medio,"2,03",3451,,,,,,,,,
2020,Sul,Privada,Ensino Medio,"1,23",3247,,,,,,,,,
2020,Centro-Oeste,Privada,Ensino Medio,"1,03",3271,,,,,,,,,
2021,Norte,Privada,Ensino Medio,"0,90",2104,,,,,,,,,
2021,Nordeste,Privada,Ensino Medio,"1,97",1960,,,,,,,,,
2021,Sudeste,Privada,Ensino Medio,"3,97",3261,,,,,,,,,
2021,Sul,Privada,Ensino Medio,"0,97",3065,,,,,,,,,
2021,Centro-Oeste,Privada,Ensino Medio,"0,57",3108,,,,,,,,,
2022,Norte,Privada,Ensino Medio,"0,87",2173,,,,,,,,,
2022,Nordeste,Privada,Ensino Medio,"1,97",1889,,,,,,,,,
2022,Sudeste,Privada,Ensino Medio,"2,83",3147,,,,,,,,,
2022,Sul,Privada,Ensino Medio,"0,87",3083,,,,,,,,,
2022,Centro-Oeste,Privada,Ensino Medio,"0,77",3162,,,,,,,,,
2023,Norte,Privada,Ensino Medio,"0,47",2416,,,,,,,,,
2023,Nordeste,Privada,Ensino Medio,"2,93",1991,,,,,,,,,
2023,Sudeste,Privada,Ensino Medio,"1,87",3389,,,,,,,,,
2023,Sul,Privada,Ensino Medio,"0,93",3225,,,,,,,,,
2023,Centro-Oeste,Privada,Ensino Medio,"0,87",3418,,,,,,,,,
2013,Norte,Privada,Ensino Fundamental,"0,80",2252,,,,,,,,,
2013,Nordeste,Privada,Ensino Fundamental,"0,70",1976,,,,,,,,,
2013,Sudeste,Privada,Ensino Fundamental,"0,23",3306,,,,,,,,,
2013,Sul,Privada,Ensino Fundamental,"0,27",3194,,,,,,,,,
2013,Centro-Oeste,Privada,Ensino Fundamental,"0,10",3299,,,,,,,,,
2014,Norte,Privada,Ensino Fundamental,"0,67",2284,,,,,,,,,
2014,Nordeste,Privada,Ensino Fundamental,"0,57",2039,,,,,,,,,
2014,Sudeste,Privada,Ensino Fundamental,"0,23",3439,,,,,,,,,
2014,Sul,Privada,Ensino Fundamental,"0,17",3277,,,,,,,,,
2014,Centro-Oeste,Privada,Ensino Fundamental,"0,07",3367,,,,,,,,,
2015,Norte,Privada,Ensino Fundamental,"0,63",2223,,,,,,,,,
